TRIP_START_TIMESTAMP,TRIP_END_TIMESTAMP,TRIP_START_HOUR,TRIP_SECONDS,TRIP_MILES,TRIP_SPEED,PICKUP_CENSUS_TRACT,DROPOFF_CENSUS_TRACT,PICKUP_COMMUNITY_AREA,DROPOFF_COMMUNITY_AREA,FARE,TIPS,TIP_RATE,TOLLS,EXTRAS,TRIP_TOTAL,PAYMENT_TYPE,COMPANY
05/17/2022 7:15:00 AM,05/17/2022 7:45:00 AM,7.25,2341,2.57,4.0,,,,17,31.99,2,6.3,0,0,33.99,Mobile,Flash Cab
05/17/2022 5:15:00 PM,05/17/2022 5:30:00 PM,17.25,1074,1.18,4.0,,17031081202,,8,9.75,3,27.9,0,1,14.25,Credit Card,Flash Cab
05/17/2022 5:15:00 PM,05/17/2022 5:30:00 PM,17.25,1173,1.29,4.0,17031320100,17031081201,32,8,10.25,0,0.0,0,0,10.25,Cash,Sun Taxi
05/17/2022 6:00:00 PM,05/17/2022 7:00:00 PM,18,3360,3.7,4.0,17031320100,17031241400,32,24,23.75,0,0.0,0,1,24.75,Cash,Choice Taxi Association
05/17/2022 5:00:00 PM,05/17/2022 5:30:00 PM,17,1044,1.15,4.0,17031320100,17031081800,32,8,10,0,0.0,0,0,10,Cash,Flash Cab
05/17/2022 5:30:00 PM,05/17/2022 6:00:00 PM,17.5,1251,1.38,4.0,17031081500,17031280100,8,28,11,3,27.3,0,0,14.5,Credit Card,Flash Cab
05/17/2022 5:00:00 PM,05/17/2022 5:30:00 PM,17,1813,2,4.0,17031081201,17031281900,8,28,14.5,0,0.0,0,0,14.5,Cash,Sun Taxi
05/17/2022 5:30:00 PM,05/17/2022 6:00:00 PM,17.5,1857,2.05,4.0,17031081300,17031280100,8,28,14.75,4.19,25.8,0,1.5,20.94,Credit Card,Sun Taxi
05/17/2022 7:00:00 PM,05/17/2022 7:00:00 PM,19,787,0.87,4.0,17031081201,17031081201,8,8,8,0,0.0,0,1.5,9.5,Cash,City Service
05/16/2022 6:30:00 PM,05/16/2022 6:45:00 PM,18.5,1399,1.55,4.0,,,32,6,17.88,4.11,23.0,0,0,21.99,Mobile,Flash Cab
05/16/2022 10:30:00 AM,05/16/2022 11:45:00 AM,10.5,3934,4.37,4.0,,,5,13,30.25,0,0.0,0,0,30.25,Prcard,Flash Cab
05/17/2022 6:45:00 PM,05/17/2022 6:45:00 PM,18.75,540,0.6,4.0,17031839100,17031281900,32,28,6.5,0,0.0,0,1,7.5,Cash,Taxi Affiliation Services
05/17/2022 5:45:00 PM,05/17/2022 6:00:00 PM,17.75,720,0.8,4.0,17031081201,17031081800,8,8,7.5,2,26.7,0,0,9.5,Credit Card,Top Cab Affiliation
05/17/2022 4:45:00 PM,05/17/2022 5:00:00 PM,16.75,720,0.8,4.0,17031839100,17031081500,32,8,7.5,0,0.0,0,1,8.5,Cash,Globe Taxi
05/16/2022 2:15:00 PM,05/16/2022 2:30:00 PM,14.25,540,0.6,4.0,,,7,7,6.75,0,0.0,0,0,6.75,Unknown,Taxi Affiliation Services
05/17/2022 5:00:00 PM,05/17/2022 5:30:00 PM,17,1207,1.35,4.0,17031839100,17031081500,32,8,10.75,3,27.9,0,0,14.25,Credit Card,City Service
05/16/2022 11:45:00 AM,05/16/2022 12:00:00 PM,11.75,1295,1.45,4.0,17031081800,17031081403,8,8,8.25,0,0.0,0,0,8.25,Cash,Blue Ribbon Taxi Association
